"","sub","rr","alpha","model"
"96","57znvber9kc1tnj","75",0.896181924699393,"rw_base"
"97","5cp1qjka53bl73q","25",0.174113750795589,"rw_base"
"98","5cp1qjka53bl73q","25",0.174113750795589,"rw_base"
"99","5cp1qjka53bl73q","50",0.386641711232091,"rw_base"
"100","5cp1qjka53bl73q","50",0.386641711232091,"rw_base"
"101","5cp1qjka53bl73q","75",0.215641175658679,"rw_base"
"102","5cp1qjka53bl73q","75",0.215641175658679,"rw_base"
"103","5jwar0bvwr53h40","25",0.14356450928147,"rw_base"
"104","5jwar0bvwr53h40","25",0.14356450928147,"rw_base"
"105","5jwar0bvwr53h40","50",2.03413571821622e-09,"rw_base"
"106","5jwar0bvwr53h40","50",2.03413571821622e-09,"rw_base"
"107","5jwar0bvwr53h40","75",0.570349209985467,"rw_base"
"108","5jwar0bvwr53h40","75",0.570349209985467,"rw_base"
"109","5o4n9abwu4u5bb5","25",0.321588285521299,"rw_base"
"110","5o4n9abwu4u5bb5","25",0.321588285521299,"rw_base"
"111","5o4n9abwu4u5bb5","50",1.21707898484349e-14,"rw_base"
"112","5o4n9abwu4u5bb5","50",1.21707898484349e-14,"rw_base"
"113","5o4n9abwu4u5bb5","75",0.13846694804575,"rw_base"
"114","5o4n9abwu4u5bb5","75",0.13846694804575,"rw_base"
"115","5pgqs0v0feqyejp","25",1.01782627523606e-15,"rw_base"
"116","5pgqs0v0feqyejp","25",1.01782627523606e-15,"rw_base"
"117","5pgqs0v0feqyejp","50",0.0451664632475747,"rw_base"
"118","5pgqs0v0feqyejp","50",0.0451664632475747,"rw_base"
"119","5pgqs0v0feqyejp","75",0.148648868096587,"rw_base"
"120","5pgqs0v0feqyejp","75",0.148648868096587,"rw_base"
"121","6be4c2orpqft8ul","25",0.419601344172699,"rw_base"
"122","6be4c2orpqft8ul","25",0.419601344172699,"rw_base"
"123","6be4c2orpqft8ul","50",0.0232830153755228,"rw_base"
"124","6be4c2orpqft8ul","50",0.0232830153755228,"rw_base"
"125","6be4c2orpqft8ul","75",0.119358871853574,"rw_base"
"126","6be4c2orpqft8ul","75",0.119358871853574,"rw_base"
"127","6wyn194o3vd7jmv","25",0.179630213534373,"rw_base"
"128","6wyn194o3vd7jmv","25",0.179630213534373,"rw_base"
"129","6wyn194o3vd7jmv","50",7.31385409881606e-15,"rw_base"
"130","6wyn194o3vd7jmv","50",7.31385409881606e-15,"rw_base"
"131","6wyn194o3vd7jmv","75",0.227979848789051,"rw_base"
"132","6wyn194o3vd7jmv","75",0.227979848789051,"rw_base"
"133","70kcrqfjf2xhh4m","25",0.230234053274646,"rw_base"
"134","70kcrqfjf2xhh4m","25",0.230234053274646,"rw_base"
