"","sub","rr","pu","lambda","omega","offset","model"
"142","7bwng7h1w9q6djl","50","low",2.78389137632291,0.166666666666667,0.0054893690085811,"value_alt"
"143","7bwng7h1w9q6djl","75","high",2.945171712382,0.166666666666667,-0.0701035665274051,"value_alt"
"144","7bwng7h1w9q6djl","75","low",5,0.5,0,"value_alt"
"145","7pjw0pz87exlgmd","25","high",1.16863605155265,0.166666666666667,0.0768174355498383,"value_alt"
"146","7pjw0pz87exlgmd","25","low",1.15905370976319,0.166666666666667,0.176176936435072,"value_alt"
"147","7pjw0pz87exlgmd","50","high",2.58779431819153,0.166666666666667,0.00825952167420319,"value_alt"
"148","7pjw0pz87exlgmd","50","low",1.33287577622153,0.166666666666667,0.0349126140305915,"value_alt"
"149","7pjw0pz87exlgmd","75","high",3.8101151511375,0.166666666666667,0.00558187652623943,"value_alt"
"150","7pjw0pz87exlgmd","75","low",2.83774822502999,0.166666666666667,-0.0696213771913907,"value_alt"
"151","85aq8xl8ayntz3l","25","high",3.65865637156727,0.166666666666667,0.000109540441079359,"value_alt"
"152","85aq8xl8ayntz3l","25","low",1.29102446719318,0.166666666666667,0.176954732513829,"value_alt"
"153","85aq8xl8ayntz3l","50","high",5,0.5,0,"value_alt"
"154","85aq8xl8ayntz3l","50","low",3.09471794595322,0.166666666666667,0.0313827404896669,"value_alt"
"155","85aq8xl8ayntz3l","75","high",5.92592592592527,0.388888888888889,-0.251772750378661,"value_alt"
"156","85aq8xl8ayntz3l","75","low",7.42112482853813,0.166666666666667,-0.0314103374474674,"value_alt"
"157","8epzoljwn0gbtge","25","high",1.76286558020285,0.388888888888889,0.348020065608868,"value_alt"
"158","8epzoljwn0gbtge","25","low",1.03134684737408,0.166666666666667,0.437178757662644,"value_alt"
"159","8epzoljwn0gbtge","50","high",2.40767397680004,0.388888888888889,0.419225547636606,"value_alt"
"160","8epzoljwn0gbtge","50","low",2.19810394436831,0.166666666666667,-0.0131365174132542,"value_alt"
"161","8epzoljwn0gbtge","75","high",4.76375028528757,0.388888888888889,-0.299890608005505,"value_alt"
"162","8epzoljwn0gbtge","75","low",5,0.5,0,"value_alt"
"163","8es63ovt8uw2mgg","25","high",5,0.5,0,"value_alt"
"164","8es63ovt8uw2mgg","25","low",0.96631611465099,0.5,0.0866674125057263,"value_alt"
"165","8es63ovt8uw2mgg","50","high",1.50195133186269,0.5,0.0614009835210696,"value_alt"
"166","8es63ovt8uw2mgg","50","low",0.939470861160621,0.5,-0.0106563517665316,"value_alt"
"167","8es63ovt8uw2mgg","75","high",1.27572016460908,0.5,-0.111111111111113,"value_alt"
"168","8es63ovt8uw2mgg","75","low",1.03822123899823,0.5,0.0122478318064754,"value_alt"
"169","8le0rzndxgpur8r","25","high",3.53909465020598,0.5,0.00259106843119783,"value_alt"
"170","8le0rzndxgpur8r","25","low",5,0.5,0,"value_alt"
"171","8le0rzndxgpur8r","50","high",9.99999999999935,0.5,0.00681785314742345,"value_alt"
"172","8le0rzndxgpur8r","50","low",5,0.5,0,"value_alt"
"173","8le0rzndxgpur8r","75","high",5.14403292181049,0.5,-0.00349695578930043,"value_alt"
"174","8le0rzndxgpur8r","75","low",2.1627800640166,0.5,-0.0913321830203038,"value_alt"
"175","96deaxjjts0yvax","25","high",5,0.5,0,"value_alt"
"176","96deaxjjts0yvax","25","low",9.99999999999934,0.5,0.00279522467714344,"value_alt"
"177","96deaxjjts0yvax","50","high",9.99999999999997,0.166666666666667,0.000808010361949663,"value_alt"
"178","96deaxjjts0yvax","50","low",9.75308641975258,0.5,0.0146346517125218,"value_alt"
"179","96deaxjjts0yvax","75","high",9.99999999999993,0.166666666666667,0.00523401101964205,"value_alt"
"180","96deaxjjts0yvax","75","low",9.99999999999979,0.5,0.0176803341507905,"value_alt"
"181","9h1m4d4lp6ksfjt","25","high",5,0.5,0,"value_alt"
"182","9h1m4d4lp6ksfjt","25","low",1.26697453783865,0.166666666666667,-0.0217178308984595,"value_alt"
"183","9h1m4d4lp6ksfjt","50","high",5,0.5,0,"value_alt"
"184","9h1m4d4lp6ksfjt","50","low",1.24408820748615,0.166666666666667,0.0352080475500987,"value_alt"
"185","9h1m4d4lp6ksfjt","75","high",2.26769243954718,0.166666666666667,-0.201646090534586,"value_alt"
"186","9h1m4d4lp6ksfjt","75","low",1.5033461614365,0.166666666666667,-0.039405670131632,"value_alt"
"187","9ho9tv1b4jdy3p6","25","high",5,0.5,0,"value_alt"
"188","9ho9tv1b4jdy3p6","25","low",5,0.5,0,"value_alt"
"189","9ho9tv1b4jdy3p6","50","high",3.3333333333334,0.166666666666667,-0.0959643516026171,"value_alt"
"190","9ho9tv1b4jdy3p6","50","low",5,0.5,0,"value_alt"
"191","9ho9tv1b4jdy3p6","75","high",7.09529375200391,0.166666666666667,-0.0117765273895982,"value_alt"
"192","9ho9tv1b4jdy3p6","75","low",3.1405041108534,0.166666666666667,-0.424800060931556,"value_alt"
"193","9jfa3uck1pm1a27","25","high",5,0.5,0,"value_alt"
"194","9jfa3uck1pm1a27","25","low",1.9117768833336,0.166666666666667,0.035764529049813,"value_alt"
"195","9jfa3uck1pm1a27","50","high",3.83371426439983,0.166666666666667,0.0365643129421875,"value_alt"
"196","9jfa3uck1pm1a27","50","low",1.58248944608903,0.166666666666667,0.0425109367865553,"value_alt"
"197","9jfa3uck1pm1a27","75","high",3.82395091912656,0.166666666666667,-0.0159053900734809,"value_alt"
"198","9jfa3uck1pm1a27","75","low",5.06172839506369,0.166666666666667,0.00591313895373746,"value_alt"
"199","9oe8onshjdy2khe","25","high",5,0.5,0,"value_alt"
"200","9oe8onshjdy2khe","25","low",0.905349794238756,0.5,0.00411522633744421,"value_alt"
"201","9oe8onshjdy2khe","50","high",1.23456790123458,0.5,0.0370370370370294,"value_alt"
"202","9oe8onshjdy2khe","50","low",5,0.5,0,"value_alt"
"203","9oe8onshjdy2khe","75","high",1.39917695473346,0.5,0.0425240054869285,"value_alt"
"204","9oe8onshjdy2khe","75","low",5,0.5,0,"value_alt"
"205","9p57f5mpldrqae2","25","high",5,0.5,0,"value_alt"
"206","9p57f5mpldrqae2","25","low",0.987654320993561,0.166666666666667,0.0889919737119664,"value_alt"
"207","9p57f5mpldrqae2","50","high",2.66405800409483,0.166666666666667,-0.0886511453297818,"value_alt"
"208","9p57f5mpldrqae2","50","low",2.35117527560604,0.166666666666667,-0.0658459599435383,"value_alt"
"209","9p57f5mpldrqae2","75","high",5.17674966075426,0.166666666666667,-0.0180706291968982,"value_alt"
"210","9p57f5mpldrqae2","75","low",1.76954732510104,0.5,0.0370370370374304,"value_alt"
"211","a39zpu2zr3xl47k","25","high",9.99999999999804,0.166666666666667,0.0029693312840835,"value_alt"
"212","a39zpu2zr3xl47k","25","low",5,0.5,0,"value_alt"
"213","a39zpu2zr3xl47k","50","high",5,0.5,0,"value_alt"
"214","a39zpu2zr3xl47k","50","low",9.99999999999935,0.166666666666667,0.00726593419221322,"value_alt"
"215","a39zpu2zr3xl47k","75","high",9.99999999999983,0.166666666666667,0.0107007007477968,"value_alt"
