,subject,condition,pu,step
211,7pjw0pz87exlgmd,1.0,0.0,19.75
212,7pjw0pz87exlgmd,2.0,0.0,17.75
213,7pjw0pz87exlgmd,3.0,1.0,11.5
214,7pjw0pz87exlgmd,4.0,1.0,17.5
215,7pjw0pz87exlgmd,5.0,0.0,23.0
216,85aq8xl8ayntz3l,0.0,1.0,11.5
217,85aq8xl8ayntz3l,1.0,0.0,16.25
218,85aq8xl8ayntz3l,2.0,0.0,22.75
219,85aq8xl8ayntz3l,3.0,1.0,16.0
220,85aq8xl8ayntz3l,4.0,1.0,15.75
221,85aq8xl8ayntz3l,5.0,0.0,20.25
222,86ytkcswjfzgjs2,0.0,0.0,25.5
223,86ytkcswjfzgjs2,1.0,1.0,19.0
224,86ytkcswjfzgjs2,2.0,1.0,17.0
225,86ytkcswjfzgjs2,3.0,0.0,18.5
226,86ytkcswjfzgjs2,4.0,0.0,15.5
227,86ytkcswjfzgjs2,5.0,1.0,11.5
228,8epzoljwn0gbtge,0.0,0.0,22.25
229,8epzoljwn0gbtge,1.0,1.0,13.75
230,8epzoljwn0gbtge,2.0,1.0,17.5
231,8epzoljwn0gbtge,3.0,0.0,18.25
232,8epzoljwn0gbtge,4.0,0.0,26.25
233,8epzoljwn0gbtge,5.0,1.0,12.0
234,8es63ovt8uw2mgg,0.0,1.0,14.5
235,8es63ovt8uw2mgg,1.0,0.0,18.25
236,8es63ovt8uw2mgg,2.0,0.0,23.75
237,8es63ovt8uw2mgg,3.0,1.0,19.75
238,8es63ovt8uw2mgg,4.0,1.0,15.75
239,8es63ovt8uw2mgg,5.0,0.0,22.25
240,8k0vz5fk6ovdk22,0.0,1.0,27.25
241,8k0vz5fk6ovdk22,1.0,0.0,35.5
242,8k0vz5fk6ovdk22,2.0,0.0,33.25
243,8k0vz5fk6ovdk22,3.0,1.0,23.75
244,8k0vz5fk6ovdk22,4.0,1.0,20.0
245,8k0vz5fk6ovdk22,5.0,0.0,32.0
246,8le0rzndxgpur8r,0.0,0.0,29.5
247,8le0rzndxgpur8r,1.0,1.0,12.75
248,8le0rzndxgpur8r,2.0,1.0,9.5
249,8le0rzndxgpur8r,3.0,0.0,21.75
250,8le0rzndxgpur8r,4.0,0.0,22.25
251,8le0rzndxgpur8r,5.0,1.0,11.25
252,8w9zpgv2wd00ryf,0.0,1.0,15.5
253,8w9zpgv2wd00ryf,1.0,0.0,27.75
254,8w9zpgv2wd00ryf,2.0,1.0,18.0
255,8w9zpgv2wd00ryf,3.0,0.0,24.5
256,8w9zpgv2wd00ryf,4.0,0.0,22.5
257,8w9zpgv2wd00ryf,5.0,1.0,18.75
258,96deaxjjts0yvax,0.0,0.0,13.0
259,96deaxjjts0yvax,1.0,1.0,6.25
260,96deaxjjts0yvax,2.0,0.0,12.75
261,96deaxjjts0yvax,3.0,1.0,8.25
262,96deaxjjts0yvax,4.0,0.0,12.5
263,96deaxjjts0yvax,5.0,1.0,5.75
264,9h1m4d4lp6ksfjt,0.0,0.0,18.0
265,9h1m4d4lp6ksfjt,1.0,1.0,13.25
266,9h1m4d4lp6ksfjt,2.0,0.0,19.5
267,9h1m4d4lp6ksfjt,3.0,1.0,12.75
268,9h1m4d4lp6ksfjt,4.0,0.0,23.75
269,9h1m4d4lp6ksfjt,5.0,1.0,21.0
270,9ho9tv1b4jdy3p6,0.0,0.0,21.25
271,9ho9tv1b4jdy3p6,1.0,1.0,15.0
272,9ho9tv1b4jdy3p6,2.0,1.0,16.0
273,9ho9tv1b4jdy3p6,3.0,0.0,16.25
274,9ho9tv1b4jdy3p6,4.0,0.0,19.5
275,9ho9tv1b4jdy3p6,5.0,1.0,13.75
276,9jfa3uck1pm1a27,0.0,0.0,17.0
277,9jfa3uck1pm1a27,1.0,1.0,19.0
278,9jfa3uck1pm1a27,2.0,1.0,16.75
279,9jfa3uck1pm1a27,3.0,0.0,18.25
280,9jfa3uck1pm1a27,4.0,0.0,23.0
281,9jfa3uck1pm1a27,5.0,1.0,14.75
282,9oe8onshjdy2khe,0.0,1.0,9.5
283,9oe8onshjdy2khe,1.0,0.0,18.0
284,9oe8onshjdy2khe,2.0,0.0,22.75
285,9oe8onshjdy2khe,3.0,1.0,15.25
286,9oe8onshjdy2khe,4.0,1.0,14.0
287,9oe8onshjdy2khe,5.0,0.0,22.5
288,9p57f5mpldrqae2,0.0,0.0,21.75
289,9p57f5mpldrqae2,1.0,1.0,12.0
290,9p57f5mpldrqae2,2.0,1.0,15.25
291,9p57f5mpldrqae2,3.0,0.0,15.5
292,9p57f5mpldrqae2,4.0,0.0,18.75
293,9p57f5mpldrqae2,5.0,1.0,12.0
294,9t78ys8n6y4lq87,0.0,1.0,12.75
295,9t78ys8n6y4lq87,1.0,0.0,21.75
296,9t78ys8n6y4lq87,2.0,1.0,19.0
297,9t78ys8n6y4lq87,3.0,0.0,21.25
298,9t78ys8n6y4lq87,4.0,0.0,21.75
299,9t78ys8n6y4lq87,5.0,1.0,19.75
300,a39zpu2zr3xl47k,0.0,1.0,19.25
301,a39zpu2zr3xl47k,1.0,0.0,22.5
302,a39zpu2zr3xl47k,2.0,0.0,19.25
303,a39zpu2zr3xl47k,3.0,1.0,14.5
304,a39zpu2zr3xl47k,4.0,1.0,12.0
305,a39zpu2zr3xl47k,5.0,0.0,19.75
306,ajztaxb5eyxtfch,0.0,0.0,26.5
307,ajztaxb5eyxtfch,1.0,1.0,22.0
308,ajztaxb5eyxtfch,2.0,1.0,16.0
309,ajztaxb5eyxtfch,3.0,0.0,13.75
310,ajztaxb5eyxtfch,4.0,0.0,23.5
311,ajztaxb5eyxtfch,5.0,1.0,7.85
312,as5hvtlqa9ouc2z,0.0,1.0,13.0
313,as5hvtlqa9ouc2z,1.0,0.0,18.75
314,as5hvtlqa9ouc2z,2.0,1.0,9.0
315,as5hvtlqa9ouc2z,3.0,0.0,19.25
316,as5hvtlqa9ouc2z,4.0,0.0,20.25
317,as5hvtlqa9ouc2z,5.0,1.0,11.25
318,au7m9jjmgy8d4gj,0.0,1.0,11.75
319,au7m9jjmgy8d4gj,1.0,0.0,18.0
320,au7m9jjmgy8d4gj,2.0,0.0,23.0
321,au7m9jjmgy8d4gj,3.0,1.0,10.5
322,au7m9jjmgy8d4gj,4.0,1.0,11.0
323,au7m9jjmgy8d4gj,5.0,0.0,18.25
324,b3jqszmpuje1kzj,0.0,0.0,19.0
325,b3jqszmpuje1kzj,1.0,1.0,11.0
326,b3jqszmpuje1kzj,2.0,1.0,13.0
327,b3jqszmpuje1kzj,3.0,0.0,16.75
328,b3jqszmpuje1kzj,4.0,0.0,19.75
329,b3jqszmpuje1kzj,5.0,1.0,10.5
330,b7kqqf6910mdvu2,0.0,1.0,13.25
331,b7kqqf6910mdvu2,1.0,0.0,24.75
332,b7kqqf6910mdvu2,2.0,0.0,25.5
333,b7kqqf6910mdvu2,3.0,1.0,8.0
334,b7kqqf6910mdvu2,4.0,1.0,13.0
335,b7kqqf6910mdvu2,5.0,0.0,31.75
336,bbdg9exvj0r7yce,0.0,0.0,42.0
337,bbdg9exvj0r7yce,1.0,1.0,40.0
338,bbdg9exvj0r7yce,2.0,1.0,40.5
339,bbdg9exvj0r7yce,3.0,0.0,55.25
340,bbdg9exvj0r7yce,4.0,0.0,52.0
341,bbdg9exvj0r7yce,5.0,1.0,26.75
342,bcddjqq3azlp1go,0.0,0.0,46.25
343,bcddjqq3azlp1go,1.0,1.0,28.75
344,bcddjqq3azlp1go,2.0,0.0,40.5
345,bcddjqq3azlp1go,3.0,1.0,29.75
346,bcddjqq3azlp1go,4.0,0.0,48.25
347,bcddjqq3azlp1go,5.0,1.0,29.5
348,bdov3ye1qvundbp,0.0,1.0,9.5
349,bdov3ye1qvundbp,1.0,0.0,21.75
350,bdov3ye1qvundbp,2.0,1.0,16.75
351,bdov3ye1qvundbp,3.0,0.0,19.75
352,bdov3ye1qvundbp,4.0,0.0,19.75
353,bdov3ye1qvundbp,5.0,1.0,17.0
354,brsvshywlogvxcq,0.0,1.0,12.75
355,brsvshywlogvxcq,1.0,0.0,20.0
356,brsvshywlogvxcq,2.0,0.0,19.5
357,brsvshywlogvxcq,3.0,1.0,12.0
358,brsvshywlogvxcq,4.0,1.0,12.0
359,brsvshywlogvxcq,5.0,0.0,19.75
360,bwapvlhj02uk8b6,0.0,0.0,29.5
361,bwapvlhj02uk8b6,1.0,1.0,23.5
362,bwapvlhj02uk8b6,2.0,0.0,32.25
363,bwapvlhj02uk8b6,3.0,1.0,19.0
364,bwapvlhj02uk8b6,4.0,0.0,28.75
365,bwapvlhj02uk8b6,5.0,1.0,23.0
366,bx1xq7e3jhb986v,0.0,0.0,25.0
367,bx1xq7e3jhb986v,1.0,1.0,13.75
368,bx1xq7e3jhb986v,2.0,0.0,19.25
369,bx1xq7e3jhb986v,3.0,1.0,10.75
370,bx1xq7e3jhb986v,4.0,0.0,20.0
371,bx1xq7e3jhb986v,5.0,1.0,15.0
372,by055azszvfnglr,0.0,1.0,13.5
373,by055azszvfnglr,1.0,0.0,25.5
374,by055azszvfnglr,2.0,1.0,14.75
375,by055azszvfnglr,3.0,0.0,24.75
376,by055azszvfnglr,4.0,0.0,19.0
377,by055azszvfnglr,5.0,1.0,18.0
378,c2se350v0tr4hzv,0.0,1.0,10.25
379,c2se350v0tr4hzv,1.0,0.0,19.0
380,c2se350v0tr4hzv,2.0,1.0,9.0
381,c2se350v0tr4hzv,3.0,0.0,18.25
382,c2se350v0tr4hzv,4.0,0.0,16.25
383,c2se350v0tr4hzv,5.0,1.0,14.75
384,cavjhtxfs1z091j,0.0,0.0,20.0
385,cavjhtxfs1z091j,1.0,1.0,18.25
386,cavjhtxfs1z091j,2.0,0.0,18.75
387,cavjhtxfs1z091j,3.0,1.0,17.25
388,cavjhtxfs1z091j,4.0,0.0,24.25
389,cavjhtxfs1z091j,5.0,1.0,11.5
390,cl4vc26ycu0woo2,0.0,0.0,22.5
391,cl4vc26ycu0woo2,1.0,1.0,15.5
392,cl4vc26ycu0woo2,2.0,0.0,18.75
393,cl4vc26ycu0woo2,3.0,1.0,16.25
394,cl4vc26ycu0woo2,4.0,0.0,19.75
395,cl4vc26ycu0woo2,5.0,1.0,15.5
396,cvwjerg09d5sfu9,0.0,1.0,16.75
397,cvwjerg09d5sfu9,1.0,0.0,21.75
398,cvwjerg09d5sfu9,2.0,0.0,28.75
399,cvwjerg09d5sfu9,3.0,1.0,15.75
400,cvwjerg09d5sfu9,4.0,1.0,17.0
401,cvwjerg09d5sfu9,5.0,0.0,30.5
402,dho9tnp5jdyv2kn,0.0,0.0,26.5
403,dho9tnp5jdyv2kn,1.0,1.0,16.75
404,dho9tnp5jdyv2kn,2.0,1.0,15.5
405,dho9tnp5jdyv2kn,3.0,0.0,22.75
