"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"101","5cp1qjka53bl73q","value_alt_offset",3,1,0.5,0.517269185741939,0.00990702636675156,"perc_offset"
"102","5cp1qjka53bl73q","value_alt_offset",3,2,0.5,2.22222222222152,-0.160493827160447,"perc_offset"
"103","5jwar0bvwr53h40","value_alt_offset",1,1,0.5,1.49519890260561,0.00228623685418117,"value_alt_offset"
"104","5jwar0bvwr53h40","value_alt_offset",1,2,0.166666666666667,2.18276590683876,0.0544444411170892,"value_alt_offset"
"105","5jwar0bvwr53h40","value_alt_offset",2,1,0.166666666666667,4.07407407407429,0.081111109430273,"value_alt_offset"
"106","5jwar0bvwr53h40","value_alt_offset",2,2,0.5,2.71604938271607,0.00685871056236786,"value_alt_offset"
"107","5jwar0bvwr53h40","value_alt_offset",3,1,0.166666666666667,6.66666666666669,0.0123456790115155,"value_alt_offset"
"108","5jwar0bvwr53h40","value_alt_offset",3,2,0.5,2.75720164609119,0.0766613791235264,"value_alt_offset"
"109","5o4n9abwu4u5bb5","value_alt_offset",1,1,0.5,0.987654320985833,-0.0123456790121271,"perc_offset"
"110","5o4n9abwu4u5bb5","value_alt_offset",1,2,0.5,1.09739368998606,-0.0370370370370159,"perc_offset"
"111","5o4n9abwu4u5bb5","value_alt_offset",2,1,0.388888888888889,3.7970137187728,-0.241944436758997,"value_alt_offset"
"112","5o4n9abwu4u5bb5","value_alt_offset",2,2,0.5,0.823045267489688,-0.00411522633743988,"value_alt_offset"
"113","5o4n9abwu4u5bb5","value_alt_offset",3,1,0.5,0.734449668286491,-0.0205761316871118,"perc_offset"
"114","5o4n9abwu4u5bb5","value_alt_offset",3,2,0.5,2.30979544346857,-0.116902911145132,"value_alt_offset"
"115","5pgqs0v0feqyejp","value_alt_offset",1,1,0.5,1.23626141006459,0.0100960293442676,"value_alt_offset"
"116","5pgqs0v0feqyejp","value_alt_offset",1,2,0.5,1.58545873960008,0.0730455854761065,"value_alt_offset"
"117","5pgqs0v0feqyejp","value_alt_offset",2,1,0.5,1.31771918235626,0.00290022122719447,"value_alt_offset"
"118","5pgqs0v0feqyejp","value_alt_offset",2,2,0.5,1.13643076824554,0.0112279632181691,"value_alt_offset"
"119","5pgqs0v0feqyejp","value_alt_offset",3,1,0.5,1.3016308489553,0.00960219478777269,"value_alt_offset"
"120","5pgqs0v0feqyejp","value_alt_offset",3,2,0.5,1.52034704118637,0.0205761316872763,"value_alt_offset"
"121","6be4c2orpqft8ul","value_alt_offset",1,1,0.5,9.99999999999804,0.206612355621253,"perc_offset"
"122","6be4c2orpqft8ul","value_alt_offset",1,2,0.166666666666667,1.21046653007554,0.186944443657904,"value_alt_offset"
"123","6be4c2orpqft8ul","value_alt_offset",2,1,0.166666666666667,1.51753165280199,0.238333337088943,"value_alt_offset"
