"","sub","pu","ou","full_offset","perc_offset","value_alt_offset","bestfit","rr"
"186","9h1m4d4lp6ksfjt",2,3,256.022175969586,349.813210460599,253.475861610123,"value_alt_offset",3
"187","9ho9tv1b4jdy3p6",1,1,247.757405236197,249.18682044673,244.323162581569,"value_alt_offset",1
"188","9ho9tv1b4jdy3p6",2,1,248.655483658468,280.778944794213,245.205622918534,"value_alt_offset",1
"189","9ho9tv1b4jdy3p6",1,2,248.142845666012,268.834821841339,244.774775863922,"value_alt_offset",2
"190","9ho9tv1b4jdy3p6",2,2,247.958146891213,254.486613324241,244.702524835011,"value_alt_offset",2
"191","9ho9tv1b4jdy3p6",1,3,256.914484262867,325.061668860738,255.369338497392,"value_alt_offset",3
"192","9ho9tv1b4jdy3p6",2,3,247.181659573692,246.560402471298,243.59915702424,"value_alt_offset",3
"193","9jfa3uck1pm1a27",1,1,247.706997848425,278.218123015314,244.120102969696,"value_alt_offset",1
"194","9jfa3uck1pm1a27",2,1,248.105088151268,270.361674604925,244.672901124259,"value_alt_offset",1
"195","9jfa3uck1pm1a27",1,2,252.28874763592,300.827571074834,248.839908351678,"value_alt_offset",2
"196","9jfa3uck1pm1a27",2,2,248.548068264749,258.17626231507,245.457928257629,"value_alt_offset",2
"197","9jfa3uck1pm1a27",1,3,247.549008506087,251.368849147035,243.965313029693,"value_alt_offset",3
"198","9jfa3uck1pm1a27",2,3,250.135652726152,267.276811844405,246.959892230081,"value_alt_offset",3
"199","9oe8onshjdy2khe",1,1,247.64701160672,243.320754111903,244.097544017599,"perc_offset",1
"200","9oe8onshjdy2khe",2,1,248.425240848524,249.606866765342,244.989647710886,"value_alt_offset",1
"201","9oe8onshjdy2khe",1,2,265.534247264496,276.835330394931,268.576597081862,"full_offset",2
"202","9oe8onshjdy2khe",2,2,249.186354160104,274.850571805123,246.714449712191,"value_alt_offset",2
"203","9oe8onshjdy2khe",1,3,256.177847526128,288.208360302057,255.007257697007,"value_alt_offset",3
"204","9oe8onshjdy2khe",2,3,261.708187041262,304.842473368241,259.387952546668,"value_alt_offset",3
"205","9p57f5mpldrqae2",1,1,261.280556047956,296.810381314726,258.483059697466,"value_alt_offset",1
"206","9p57f5mpldrqae2",2,1,249.331680617302,274.947217944484,245.755366860597,"value_alt_offset",1
"207","9p57f5mpldrqae2",1,2,249.173853257849,297.025467007043,246.077815600346,"value_alt_offset",2
"208","9p57f5mpldrqae2",2,2,248.837530543469,267.516025494761,245.600895058443,"value_alt_offset",2
"209","9p57f5mpldrqae2",1,3,280.478537892266,349.985748461226,283.368698659622,"full_offset",3
"210","9p57f5mpldrqae2",2,3,254.158970200178,258.309629588129,250.727617938441,"value_alt_offset",3
"211","a39zpu2zr3xl47k",1,1,246.329546757365,254.344063780762,242.762621914355,"value_alt_offset",1
"212","a39zpu2zr3xl47k",2,1,246.373308502312,252.640484036964,242.8157839675,"value_alt_offset",1
"213","a39zpu2zr3xl47k",1,2,246.393102112214,252.209439941818,242.853248705988,"value_alt_offset",2
"214","a39zpu2zr3xl47k",2,2,246.351410182016,239.542837183269,242.794071990553,"perc_offset",2
"215","a39zpu2zr3xl47k",1,3,246.389722814245,244.098162954372,242.867534852439,"value_alt_offset",3
"216","a39zpu2zr3xl47k",2,3,246.455671883032,246.70919341859,243.049979472829,"value_alt_offset",3
"217","ajztaxb5eyxtfch",1,1,254.936721943393,324.407329836282,251.352299038891,"value_alt_offset",1
"218","ajztaxb5eyxtfch",2,1,257.573498833244,310.188413959677,253.844245196561,"value_alt_offset",1
"219","ajztaxb5eyxtfch",1,2,252.226302328884,304.650473548303,248.784504379785,"value_alt_offset",2
"220","ajztaxb5eyxtfch",2,2,262.878278429334,282.779783095622,260.022837729196,"value_alt_offset",2
"221","ajztaxb5eyxtfch",1,3,252.798842674495,335.403922442654,250.08065670367,"value_alt_offset",3
"222","ajztaxb5eyxtfch",2,3,260.212933649613,286.029265985961,257.990886090693,"value_alt_offset",3
"223","as5hvtlqa9ouc2z",1,1,253.342443267266,322.344440766983,250.150002073572,"value_alt_offset",1
"224","as5hvtlqa9ouc2z",2,1,250.650796999956,309.559330940318,247.695042471321,"value_alt_offset",1
"225","as5hvtlqa9ouc2z",1,2,248.898221953033,270.031016786651,245.611541807924,"value_alt_offset",2
"226","as5hvtlqa9ouc2z",2,2,251.233834048156,283.118445434656,248.541552307503,"value_alt_offset",2
"227","as5hvtlqa9ouc2z",1,3,255.290842075997,315.239900759783,254.25585442109,"value_alt_offset",3
"228","as5hvtlqa9ouc2z",2,3,253.104055630855,286.202811241675,250.677216034183,"value_alt_offset",3
"229","au7m9jjmgy8d4gj",1,1,268.348697023945,260.695960920742,255.059889617652,"value_alt_offset",1
"230","au7m9jjmgy8d4gj",2,1,307.009191286912,324.964696824016,310.180852192008,"full_offset",1
"231","au7m9jjmgy8d4gj",1,2,270.926315732411,311.85254905043,271.046540346726,"full_offset",2
"232","au7m9jjmgy8d4gj",2,2,270.865509058777,289.903191706528,274.945633837406,"full_offset",2
"233","au7m9jjmgy8d4gj",1,3,280.271143236361,258.17152030767,260.196830576678,"perc_offset",3
"234","au7m9jjmgy8d4gj",2,3,325.880008318486,345.230863664548,329.519853805104,"full_offset",3
"235","b3jqszmpuje1kzj",1,1,246.896301459645,264.796552799287,243.351915379499,"value_alt_offset",1
"236","b3jqszmpuje1kzj",2,1,250.96633860621,268.925650413551,247.597370599808,"value_alt_offset",1
"237","b3jqszmpuje1kzj",1,2,247.980987846934,272.340514083912,244.552328216774,"value_alt_offset",2
"238","b3jqszmpuje1kzj",2,2,248.367841007049,270.639772949947,245.527903115963,"value_alt_offset",2
"239","b3jqszmpuje1kzj",1,3,248.520693657166,309.903594510232,244.936812515766,"value_alt_offset",3
"240","b3jqszmpuje1kzj",2,3,248.06749210911,250.799200647802,244.806360635382,"value_alt_offset",3
"241","bdov3ye1qvundbp",1,1,280.75205385307,372.650384710232,281.940727973148,"full_offset",1
"242","bdov3ye1qvundbp",2,1,266.412035654782,304.974327983631,265.376654439017,"value_alt_offset",1
"243","bdov3ye1qvundbp",1,2,261.474448870181,320.369043605454,258.584820882051,"value_alt_offset",2
"244","bdov3ye1qvundbp",2,2,274.988821071484,343.378164559726,275.745889562347,"full_offset",2
"245","bdov3ye1qvundbp",1,3,266.089228401545,348.787068014667,262.487189229698,"value_alt_offset",3
