"","sub","model","rr","pu","rho","omega","lambda","offset","bestfit"
"118","5pgqs0v0feqyejp","full_offset",2,2,0.0308641975308642,0.853909465020576,1.17283950617284,0.00823045267489708,"value_alt_offset"
"119","5pgqs0v0feqyejp","full_offset",3,1,0.0596707896365285,0.5,1.33744855967078,-1.12900585389486e-05,"value_alt_offset"
"120","5pgqs0v0feqyejp","full_offset",3,2,0.0679012345679013,0.501371742112483,1.62703856119494,0,"value_alt_offset"
"121","6be4c2orpqft8ul","full_offset",1,1,0.944444444444444,0.5,3.88888888888889,0.222222222222222,"perc_offset"
"122","6be4c2orpqft8ul","full_offset",1,2,0.0555555555555556,0.0308641975308642,1.33744855967078,0.17283950617284,"value_alt_offset"
"123","6be4c2orpqft8ul","full_offset",2,1,0.051440329218107,0.170781893004115,1.5432105734604,0.230452674897119,"value_alt_offset"
"124","6be4c2orpqft8ul","full_offset",2,2,0.302469135802469,0.166666666666667,2.40740740740741,0,"value_alt_offset"
"125","6be4c2orpqft8ul","full_offset",3,1,0.0185185185185185,0.0555555555555556,2.61316872427984,-0.0987654320987654,"value_alt_offset"
"126","6be4c2orpqft8ul","full_offset",3,2,0.0304069501600318,0.277777777777778,2.40283493369913,-0.0463344002438653,"value_alt_offset"
"127","6wyn194o3vd7jmv","full_offset",1,1,0.01440329218107,0.61522633744856,0.637860079436555,-0.00823045267489708,"perc_offset"
"128","6wyn194o3vd7jmv","full_offset",1,2,0.0555555555555556,0.845695947433487,0.925925925925926,1.54870487545367e-08,"perc_offset"
"129","6wyn194o3vd7jmv","full_offset",2,1,0.0308642052743886,0.845831428135955,0.802469213237713,-0.0493822979014269,"value_alt_offset"
"130","6wyn194o3vd7jmv","full_offset",2,2,0.104938271604938,0.833333333333333,0.925925925925926,-0.0740740740740741,"value_alt_offset"
"131","6wyn194o3vd7jmv","full_offset",3,1,0.0555555555555556,0.948559670781893,0.884773662551441,-0.065843621399177,"perc_offset"
"132","6wyn194o3vd7jmv","full_offset",3,2,0.0679012345679013,0.771604938271605,1.66666666666667,-0.222222222222222,"value_alt_offset"
"133","70kcrqfjf2xhh4m","full_offset",1,1,0.0555555555555556,0.179012345679012,0.925925925925926,0.15363511659808,"value_alt_offset"
"134","70kcrqfjf2xhh4m","full_offset",1,2,0.0555555555555556,0.327160493827161,0.912208504801098,0.124371284865112,"value_alt_offset"
"135","70kcrqfjf2xhh4m","full_offset",2,1,0.0185185185185185,0.0925925925925926,2.40740740740741,0.0164609053497944,"value_alt_offset"
"136","70kcrqfjf2xhh4m","full_offset",2,2,0.00480109739369001,0.174897119341564,1.90443529949703,0.043895747599451,"value_alt_offset"
"137","70kcrqfjf2xhh4m","full_offset",3,1,0.0308641975308642,0.104938271604938,2.32510288065844,-0.0740740740740741,"value_alt_offset"
"138","70kcrqfjf2xhh4m","full_offset",3,2,0.0432098765432099,0.314814813954423,2.77794712865586,-0.0493827160493827,"value_alt_offset"
"139","7bwng7h1w9q6djl","full_offset",1,1,0.117283950617284,0.121399176954733,0.925925925925926,0.082304526748971,"value_alt_offset"
"140","7bwng7h1w9q6djl","full_offset",1,2,0.103566529492455,0.0679012345679013,2.03703703703704,0.0219478737997258,"value_alt_offset"
"141","7bwng7h1w9q6djl","full_offset",2,1,0.051440329218107,0.00617283950617287,2.81893004115226,0,"value_alt_offset"
"142","7bwng7h1w9q6djl","full_offset",2,2,0.0308641975308642,0.0802469135802469,3.51851851851852,0,"value_alt_offset"
"143","7bwng7h1w9q6djl","full_offset",3,1,0.0925925925925926,0.142127724432251,2.77777777777778,-0.148148148148148,"value_alt_offset"
"144","7bwng7h1w9q6djl","full_offset",3,2,0.0185185185185185,0.0432098765432099,2.03703703703704,0.0493714259908435,"value_alt_offset"
"145","7pjw0pz87exlgmd","full_offset",1,1,0.0473251028806585,0.0967078189300412,1.13168724279835,0.164609053497943,"value_alt_offset"
"146","7pjw0pz87exlgmd","full_offset",1,2,0.0322359396433471,0.276406035665295,1.21399176954733,0.082304526748971,"value_alt_offset"
"147","7pjw0pz87exlgmd","full_offset",2,1,0.00754458161865572,0.290123456790123,1.36031092821216,0.0265203475080018,"value_alt_offset"
"148","7pjw0pz87exlgmd","full_offset",2,2,0.0185185185185185,0.205075445816187,2.61316872427984,0.0164609053497944,"value_alt_offset"
"149","7pjw0pz87exlgmd","full_offset",3,1,0.0226337448559671,0.314814814814815,2.03703703703704,-0.00823045265365285,"value_alt_offset"
"150","7pjw0pz87exlgmd","full_offset",3,2,0.0555555555555556,0.0185185185185185,3.51851851851852,0.0274348422496571,"value_alt_offset"
"151","85aq8xl8ayntz3l","full_offset",1,1,0.314814814814815,0.203703494628546,1.29172382258802,0.181069958847738,"value_alt_offset"
"152","85aq8xl8ayntz3l","full_offset",1,2,0.02400548696845,0.00617283950617287,3.72427983539095,0,"value_alt_offset"
"153","85aq8xl8ayntz3l","full_offset",2,1,0.0541838134430727,0.0308641975308642,3.14814814814815,0.0256058527663467,"value_alt_offset"
"154","85aq8xl8ayntz3l","full_offset",2,2,0.0308641975627306,0.143347050754458,4.89483310470965,-0.0521262002743484,"value_alt_offset"
"155","85aq8xl8ayntz3l","full_offset",3,1,0.0802469135802469,0.388888888888889,7.38683127572016,-0.0356652949245542,"perc_offset"
"156","85aq8xl8ayntz3l","full_offset",3,2,0.12962962962963,0.722222222222222,3.88888888888889,-0.0740740740740741,"value_alt_offset"
"157","8epzoljwn0gbtge","full_offset",1,1,0.0349794238683128,0.294238683127572,0.967078189300412,0.452674897119341,"value_alt_offset"
"158","8epzoljwn0gbtge","full_offset",1,2,0.0679012345679013,0.191358024691358,1.79012345679012,0.342935528120713,"value_alt_offset"
"159","8epzoljwn0gbtge","full_offset",2,1,0.0253772058503597,0.0432098765432099,2.11934156378601,-0.00823045267489708,"value_alt_offset"
"160","8epzoljwn0gbtge","full_offset",2,2,0.0884773662551441,0.408093278463649,2.16049382716049,0.419753086419753,"value_alt_offset"
"161","8epzoljwn0gbtge","full_offset",3,1,0.0432098765432099,0.331275720164609,2.76406035665295,-0.0740740740740741,"value_alt_offset"
"162","8epzoljwn0gbtge","full_offset",3,2,0.0555499105262861,0.351851851851852,4.75302996946039,-0.295381801554641,"value_alt_offset"
"163","8es63ovt8uw2mgg","full_offset",1,1,0.0637878976504002,0.724965698703663,1.17741197988112,0.074074074074074,"perc_offset"
"164","8es63ovt8uw2mgg","full_offset",1,2,0.00617283950617287,0.53568223029916,1.04938271603758,0.126200274348423,"perc_offset"
"165","8es63ovt8uw2mgg","full_offset",2,1,0.0185185185185185,0.753772290809328,0.925925925925926,0,"value_alt_offset"
"166","8es63ovt8uw2mgg","full_offset",2,2,0.0679068795971707,0.549382716049383,1.46090534979424,0.0493827160493825,"value_alt_offset"
"167","8es63ovt8uw2mgg","full_offset",3,1,0.01440329218107,0.84567336731641,0.925925925925926,0.0163592948229438,"value_alt_offset"
"168","8es63ovt8uw2mgg","full_offset",3,2,0.0185185185185185,0.73045267489725,1.25514403292181,-0.123456790123457,"value_alt_offset"
"169","8le0rzndxgpur8r","full_offset",1,1,0.104938271604938,0.240740740740741,1.17283950617284,0.074074074074074,"value_alt_offset"
"170","8le0rzndxgpur8r","full_offset",1,2,0.0802469135805092,0.940329218106996,3.47736625514403,0,"value_alt_offset"
"171","8le0rzndxgpur8r","full_offset",2,1,0.0308648247563386,0.709876543220499,1.54320987654321,0,"value_alt_offset"
"172","8le0rzndxgpur8r","full_offset",2,2,0.277777777777763,0.833333333333333,9.85591062789661,0.00823045267489708,"value_alt_offset"
"173","8le0rzndxgpur8r","full_offset",3,1,0.0294924554183814,0.907407407407407,2.17421124828532,-0.0987654320987654,"value_alt_offset"
"174","8le0rzndxgpur8r","full_offset",3,2,0.0555555555555556,0.504115226337449,4.99999930308281,-1.54870487545367e-08,"perc_offset"
"175","96deaxjjts0yvax","full_offset",1,1,0.845679012345679,0.796296296296296,9.81481481481481,0,"value_alt_offset"
"176","96deaxjjts0yvax","full_offset",1,2,0.606995884773663,0.5,9.81481481481481,0.00182898948331034,"value_alt_offset"
"177","96deaxjjts0yvax","full_offset",2,1,0.759259259260439,0.388888888888889,9.81481481481481,0.000914494741655281,"value_alt_offset"
"178","96deaxjjts0yvax","full_offset",2,2,0.722222222222222,0.0555555555555556,9.81481481481481,0,"value_alt_offset"
"179","96deaxjjts0yvax","full_offset",3,1,0.944444444455067,0.611111111111111,9.81481481481481,0,"perc_offset"
"180","96deaxjjts0yvax","full_offset",3,2,0.808641975308642,0.858024691358025,9.81481481481481,0.0246913580246915,"perc_offset"
"181","9h1m4d4lp6ksfjt","full_offset",1,1,0.055572490643364,0.239419803891683,1.2825788723035,-2.90878432451791e-14,"value_alt_offset"
"182","9h1m4d4lp6ksfjt","full_offset",1,2,0.0185185185185185,0.298353909465021,1.79012345679012,-0.0246913580246914,"value_alt_offset"
"183","9h1m4d4lp6ksfjt","full_offset",2,1,0.0185185185185185,0.302469135802469,1.2962962962963,0.0246913580246915,"value_alt_offset"
"184","9h1m4d4lp6ksfjt","full_offset",2,2,0.0418381344307271,0.277777777777778,1.91358024691358,-0.0987654320987654,"value_alt_offset"
"185","9h1m4d4lp6ksfjt","full_offset",3,1,0.00617283950617287,0.165752171925011,1.52949245541838,-0.0438957475994514,"value_alt_offset"
"186","9h1m4d4lp6ksfjt","full_offset",3,2,0.0432098765432099,0.179012345679012,1.66666666666667,-0.197530864197531,"value_alt_offset"
"187","9ho9tv1b4jdy3p6","full_offset",1,1,0.131001371742113,0.240283423678194,1.41975308641844,0.0493827160493825,"value_alt_offset"
"188","9ho9tv1b4jdy3p6","full_offset",1,2,0.0432098765432099,0.0555555555555556,1.18655692729767,0.074074074074074,"value_alt_offset"
"189","9ho9tv1b4jdy3p6","full_offset",2,1,0.0432098765432099,0.323045267489712,3.02469135802469,-0.0246913580246914,"value_alt_offset"
"190","9ho9tv1b4jdy3p6","full_offset",2,2,0.0788751714677641,0.0569272976680384,3.64197530864198,-0.0987654320987654,"value_alt_offset"
"191","9ho9tv1b4jdy3p6","full_offset",3,1,0.0185185185185185,0.0925925925925926,2.40740740740741,-0.37037037553272,"value_alt_offset"
"192","9ho9tv1b4jdy3p6","full_offset",3,2,0.0925925925925926,0.216049382716049,6.85185185185185,0,"value_alt_offset"
"193","9jfa3uck1pm1a27","full_offset",1,1,0.0336076817558299,0.275034293552812,1.91358024691358,0.0329218106995885,"value_alt_offset"
"194","9jfa3uck1pm1a27","full_offset",1,2,0.12962962962963,0.195473251028807,2.73662551439936,0.0576131687242796,"value_alt_offset"
"195","9jfa3uck1pm1a27","full_offset",2,1,0.0322359396433471,0.276406035665295,1.61179698216735,0.0502972107910378,"value_alt_offset"
"196","9jfa3uck1pm1a27","full_offset",2,2,0.0596707818930041,0.154320987654321,3.88888888888889,0.0356652949245542,"value_alt_offset"
"197","9jfa3uck1pm1a27","full_offset",3,1,0.00617283950617287,0.302469042880177,5.20576131687243,0.00823045267489708,"value_alt_offset"
"198","9jfa3uck1pm1a27","full_offset",3,2,0.0390946502057613,0.253086419753086,3.76543209876543,0,"value_alt_offset"
"199","9oe8onshjdy2khe","full_offset",1,1,0.0432098765432099,0.660493827160494,1.04938271604938,0,"perc_offset"
