"","sub","model","rr","pu","rho","bestfit"
"201","9oe8onshjdy2khe","perc_offset",2,1,0.129629637373154,"value_alt_offset"
"202","9oe8onshjdy2khe","perc_offset",2,2,0.204160951074488,"value_alt_offset"
"203","9oe8onshjdy2khe","perc_offset",3,1,0.162551440329218,"value_alt_offset"
"204","9oe8onshjdy2khe","perc_offset",3,2,0.0679012345679013,"value_alt_offset"
"205","9p57f5mpldrqae2","perc_offset",1,1,0.672839505886042,"value_alt_offset"
"206","9p57f5mpldrqae2","perc_offset",1,2,0.792638317329675,"value_alt_offset"
"207","9p57f5mpldrqae2","perc_offset",2,1,0.932098765432099,"value_alt_offset"
"208","9p57f5mpldrqae2","perc_offset",2,2,0.500152415790276,"value_alt_offset"
"209","9p57f5mpldrqae2","perc_offset",3,1,0.191358024691358,"value_alt_offset"
"210","9p57f5mpldrqae2","perc_offset",3,2,0.907407407311808,"value_alt_offset"
"211","a39zpu2zr3xl47k","perc_offset",1,1,0.941853376009755,"value_alt_offset"
"212","a39zpu2zr3xl47k","perc_offset",1,2,0.907407407407407,"value_alt_offset"
"213","a39zpu2zr3xl47k","perc_offset",2,1,0.405349794238683,"value_alt_offset"
"214","a39zpu2zr3xl47k","perc_offset",2,2,0.472548222662535,"perc_offset"
"215","a39zpu2zr3xl47k","perc_offset",3,1,0.228395061728395,"value_alt_offset"
"216","a39zpu2zr3xl47k","perc_offset",3,2,0.475308641975309,"value_alt_offset"
"217","ajztaxb5eyxtfch","perc_offset",1,1,0.944444444444449,"value_alt_offset"
"218","ajztaxb5eyxtfch","perc_offset",1,2,0.796296296296297,"value_alt_offset"
"219","ajztaxb5eyxtfch","perc_offset",2,1,0.833333335913328,"value_alt_offset"
"220","ajztaxb5eyxtfch","perc_offset",2,2,0.290123456790123,"value_alt_offset"
"221","ajztaxb5eyxtfch","perc_offset",3,1,0.944444444444444,"value_alt_offset"
"222","ajztaxb5eyxtfch","perc_offset",3,2,0.672839506172839,"value_alt_offset"
"223","as5hvtlqa9ouc2z","perc_offset",1,1,0.907413052436677,"value_alt_offset"
"224","as5hvtlqa9ouc2z","perc_offset",1,2,0.993827160493827,"value_alt_offset"
"225","as5hvtlqa9ouc2z","perc_offset",2,1,0.915637860082305,"value_alt_offset"
"226","as5hvtlqa9ouc2z","perc_offset",2,2,0.895061728395062,"value_alt_offset"
"227","as5hvtlqa9ouc2z","perc_offset",3,1,0.63443072702332,"value_alt_offset"
"228","as5hvtlqa9ouc2z","perc_offset",3,2,0.981481481481481,"value_alt_offset"
"229","au7m9jjmgy8d4gj","perc_offset",1,1,0.00617283950617287,"value_alt_offset"
"230","au7m9jjmgy8d4gj","perc_offset",1,2,0.117334128654055,"value_alt_offset"
"231","au7m9jjmgy8d4gj","perc_offset",2,1,0.15843621399177,"value_alt_offset"
"232","au7m9jjmgy8d4gj","perc_offset",2,2,0.0931007149185649,"value_alt_offset"
"233","au7m9jjmgy8d4gj","perc_offset",3,1,0.00617279304502662,"perc_offset"
"234","au7m9jjmgy8d4gj","perc_offset",3,2,0.0967078189300412,"value_alt_offset"
"235","b3jqszmpuje1kzj","perc_offset",1,1,0.277777777777778,"value_alt_offset"
"236","b3jqszmpuje1kzj","perc_offset",1,2,0.833333333333333,"value_alt_offset"
"237","b3jqszmpuje1kzj","perc_offset",2,1,0.327160493827161,"value_alt_offset"
"238","b3jqszmpuje1kzj","perc_offset",2,2,0.438271604906405,"value_alt_offset"
"239","b3jqszmpuje1kzj","perc_offset",3,1,0.783950617283951,"value_alt_offset"
"240","b3jqszmpuje1kzj","perc_offset",3,2,0.906035665294925,"value_alt_offset"
"241","bdov3ye1qvundbp","perc_offset",1,1,0.565843621399177,"value_alt_offset"
"242","bdov3ye1qvundbp","perc_offset",1,2,0.446502057613169,"value_alt_offset"
"243","bdov3ye1qvundbp","perc_offset",2,1,0.364197530864198,"value_alt_offset"
"244","bdov3ye1qvundbp","perc_offset",2,2,0.12962962962963,"value_alt_offset"
"245","bdov3ye1qvundbp","perc_offset",3,1,0.195473251028807,"value_alt_offset"
"246","bdov3ye1qvundbp","perc_offset",3,2,0.166531185964199,"value_alt_offset"
"247","brsvshywlogvxcq","perc_offset",1,1,0.055553666135608,"perc_offset"
"248","brsvshywlogvxcq","perc_offset",1,2,0.375171467763929,"value_alt_offset"
"249","brsvshywlogvxcq","perc_offset",2,1,0.055098308184728,"perc_offset"
"250","brsvshywlogvxcq","perc_offset",2,2,0.0422951727263965,"perc_offset"
"251","brsvshywlogvxcq","perc_offset",3,1,0.0569273751032822,"value_alt_offset"
"252","brsvshywlogvxcq","perc_offset",3,2,0.104938271604938,"value_alt_offset"
"253","bx1xq7e3jhb986v","perc_offset",1,1,0.635802469135802,"value_alt_offset"
"254","bx1xq7e3jhb986v","perc_offset",1,2,0.425920280896656,"value_alt_offset"
"255","bx1xq7e3jhb986v","perc_offset",2,1,0.532921810699588,"value_alt_offset"
"256","bx1xq7e3jhb986v","perc_offset",2,2,0.930727023319616,"value_alt_offset"
"257","bx1xq7e3jhb986v","perc_offset",3,1,0.800411522633745,"value_alt_offset"
"258","bx1xq7e3jhb986v","perc_offset",3,2,0.475308641975309,"value_alt_offset"
"259","c2se350v0tr4hzv","perc_offset",1,1,0.166666666665486,"value_alt_offset"
"260","c2se350v0tr4hzv","perc_offset",1,2,0.574074074074074,"value_alt_offset"
"261","c2se350v0tr4hzv","perc_offset",2,1,0.399862825788752,"value_alt_offset"
"262","c2se350v0tr4hzv","perc_offset",2,2,0.672839506172839,"value_alt_offset"
"263","c2se350v0tr4hzv","perc_offset",3,1,0.932098765432099,"value_alt_offset"
"264","c2se350v0tr4hzv","perc_offset",3,2,0.701646090534979,"value_alt_offset"
"265","cavjhtxfs1z091j","perc_offset",1,1,0.0802469368108201,"perc_offset"
"266","cavjhtxfs1z091j","perc_offset",1,2,0.0939643347050755,"perc_offset"
"267","cavjhtxfs1z091j","perc_offset",2,1,0.0185260452242112,"perc_offset"
"268","cavjhtxfs1z091j","perc_offset",2,2,0.12962962962963,"perc_offset"
"269","cavjhtxfs1z091j","perc_offset",3,1,0.203705585380127,"value_alt_offset"
"270","cavjhtxfs1z091j","perc_offset",3,2,0.0925925900102376,"value_alt_offset"
